,position,company name,yoe,ctc,location
9,Data Science Analyst,GreatLearning,1-6 Yrs,Not disclosed,Gurgaon/Gurugram
10,Business Analyst II- Data Sciences and Advanced Analytics,Vmware,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
11,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
12,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
13,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
14,Data Science Manager,MAXIMUS GLOBAL CONSULTING SERVICES LLP,8-10 Yrs,"40,00,000 - 55,00,000 PA.","Noida, Mumbai (All Areas)(WFH during Covid)"
15,Associate Vice President - Analytics/Data Science,Huquo Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,Gurgaon/Gurugram
16,Technical Project Manager - Data Science,Huquo Consulting Pvt. Ltd,9-13 Yrs,Not disclosed,Gurgaon/Gurugram
17,Data Science Manager,Poshmark,2-4 Yrs,Not disclosed,Pune
18,"Lead , Data Science",Near Pte. Ltd.,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
0,Lead - Data Science - MNC Opportunity - Bangalore,McOxley,6-7 Yrs,"25,00,000 - 30,00,000 PA.",Bangalore/Bengaluru
1,SCM - DATA SCIENCE,BRIDGEi2i Analytics Solutions Private Limited,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
2,Team Lead - Data Science,ShieldSquare _x001A_,6-11 Yrs,Not disclosed,Bangalore/Bengaluru
3,PROJECT MANAGER - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
4,PHD/Graduate in Computer/Data Science,DCG Data-Core Systems (India) Pvt. Ltd.,0-0 Yrs,Not disclosed,Kolkata
5,Data Science Trainee,Harmony Data Integration Technologies,0-1 Yrs,Not disclosed,Mohali
6,Data Science,NEEMTREE INTERNET PVT LTD,2-5 Yrs,Not disclosed,Mumbai
7,Freelance Teaching Assistant - Data Science,Testbook Edu Solutions,0-3 Yrs,Not disclosed,"Mumbai, Navi Mumbai"
8,MANAGER - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
9,Junior Data Science Team Member,Imurgence,0-2 Yrs,Not disclosed,Remote
10,Manager - Data Science - Analytics,TATA CAPITAL LTD,0-2 Yrs,Not disclosed,Mumbai
11,Data Science Engineer,PTC,5-9 Yrs,Not disclosed,Gurgaon/Gurugram
12,DATA SCIENCE ENGINEERS,Summit Information Technologies Pvt. Ltd.c,2-9 Yrs,Not disclosed,Gurgaon
13,Python/Data Science Developer,TRH Consultancy Services,5-10 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru"
14,Sr . PS Consultant - Data Science,Genesys India,6-11 Yrs,Not disclosed,Chennai
15,Engineering/ Data Science/ Product Intern,Lybrate,0-1 Yrs,Not disclosed,New Delhi
16,SAVP - Data Scientist - Data Science Team - Insurance Domain,Huquo Consulting Pvt. Ltd,9-14 Yrs,Not disclosed,Gurgaon/Gurugram
17,Data Scientist - Data Science Team - Insurance Domain,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
18,SAVP - Data Scientist - Data Science Team - Insurance Domain,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
19,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
0,Data Science - Lead Data Scientist,Paytm,3-5 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"
1,Sr. Data Science Developer,Microsoft,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science Analytics,Diverse Infotech Pvt. Ltd.,2-7 Yrs,Not disclosed,Gurgaon
3,"Manager, Data Science 3",PayPal,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
4,Data Science Solution Architect,MAVEN WAVE PARTNERS (INDIA)PVT. LTD.,3-8 Yrs,Not disclosed,"Chandigarh, Gurgaon/Gurugram"
5,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
6,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
7,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
8,ACN - Applied Intelligence - CC - Data Science (IN) - 06,Accenture,12-15 Yrs,Not disclosed,Gurgaon/Gurugram
9,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
10,ACN - Applied Intelligence - GCP - Data Science,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
11,Urgent job Opening  For the post of DATA Science Lead For Gurgaon,GIST MANAGEMENT SOLUTIONS PRIVATE LIMITED,6-11 Yrs,"15,00,000 - 30,00,000 PA.",Gurgaon/Gurugram
12,Data Science Lead,TA Digital,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
13,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,5-6 Yrs,Not disclosed,Gurgaon/Gurugram
14,Data Science Solution Architect,Maven Wave,4-7 Yrs,Not disclosed,"Chandigarh, Gurgaon/Gurugram"
15,Data Science,Sitel,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)(WFH during Covid)"
16,Data Science Evangelist,Analytics Vidhya Educon Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon
17,Architect Data Science (Deep Learning and NLP Expert),GenInvo,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
18,ACN - Applied Intelligence - CC - Data Science (IN) - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
19,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,5-6 Yrs,Not disclosed,Gurgaon/Gurugram
0,ACN - Applied Intelligence - CC - Data Science (IN) - 08,Accenture,6-7 Yrs,Not disclosed,Gurgaon/Gurugram
1,Academics Manager / Data science Researcher,Data Folkz Private Limited,1-6 Yrs,"3,00,000 - 5,00,000 PA.",Gurgaon/Gurugram
2,ACN - Applied Intelligence - CC - Data Science (IN) - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
3,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,3-6 Yrs,Not disclosed,Gurgaon/Gurugram
4,Partner - Data Science,dentsu international,2-4 Yrs,Not disclosed,Gurgaon/Gurugram
5,Data Science Ops,TransOrg Solutions  Services (P) Ltd.,5-8 Yrs,Not disclosed,"Delhi / NCR, Mumbai (All Areas)(WFH during Covid)"
6,ACN - Applied Intelligence - CC - Data Science (IN) - 08,Accenture,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
7,Manager - Data Science,Home Credit,4-9 Yrs,Not disclosed,Gurgaon/Gurugram
8,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,5-6 Yrs,Not disclosed,Gurgaon/Gurugram
9,Director of Data Science,WRS Info India Pvt. Ltd.,5-10 Yrs,Not disclosed,"Noida, Lucknow"
10,Data Science & Analytics,RailYatri.in,1-5 Yrs,Not disclosed,Noida
11,FULL STACK DATA SCIENCE ARCHITECT,Aitouch,4-9 Yrs,Not disclosed,Gurgaon
12,Data Science Engineer - IIT/NIT/BITS,TalentStack,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
13,Consultant/ Sr. Consultant Data Science,Living Stones,5-10 Yrs,"18,00,000 - 25,00,000 PA.",Mumbai (All Areas)(Airoli)
14,Virtual Interviews For Data Science Developers On 22nd Jan @ GD-Hyd,GlobalData,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad(Kondapur)(WFH during Covid)
15,Looking For Data Science Internship/Entry Level/Fresher -Bangalore.,PROMANTUS INDIA PRIVATE LIMITED,0-0 Yrs,Not disclosed,Bangalore/Bengaluru(Electronic City)
16,Manager - Data Science,General Mills,8-12 Yrs,Not disclosed,Mumbai
17,Eclerx is Hiring For Data science-Mumbai & Pune,eClerx,3-8 Yrs,"5,00,000 - 13,00,000 PA.","Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)(WFH during Covid)"
18,Data Science Professional,IBM,5-10 Yrs,Not disclosed,Ahmedabad
19,Data Science Professional,IBM,5-7 Yrs,Not disclosed,Ahmedabad
0,Data Science Engineer,Siemens,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
1,Analyst-Data Science,Accenture,3-5 Yrs,Not disclosed,Mumbai
2,Analyst-Data Science,Accenture,3-5 Yrs,Not disclosed,Mumbai
3,"Python Developer, Django, Data Science, Machine Learning freshers only",Excel PTP - IT Training Provider Company India,0-5 Yrs,Not disclosed,Ahmedabad
4,Senior Engineer - Data sciences - Bangalore based Start up Company,ConsultTrinity Services Private Limited,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
5,"Senior Software Engineer , Data Science",jupiter,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
6,Sr . Software Engineer ( Data Science ),Unravel,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
7,Senior Engineer - RIQ Data Science,Reltio,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
8,Manager - Data Science (Lifesciences),Spectral Consultants -Search and Recruitments Firm,10-15 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
9,Chief Intelligence Officer - Data Science & Analytics,TalPro,8-12 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru"
10,Data Science Tech Manager,Xoriant,5-10 Yrs,Not disclosed,Pune
11,Data Science Quality Assurance,NICE,3-8 Yrs,Not disclosed,Pune
12,"Manager, Business Intelligence & Data Science",iSOCRATES,5-10 Yrs,Not disclosed,Mysore/Mysuru
13,Jr Data Science Professional,Harmony Data Integration Technologies,1-3 Yrs,Not disclosed,Mohali
14,AI (Data Science) Architect,Quality Engineering  Software Technologies Pvt. Ltd.,10-15 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram
15,Data Science Manager,Infosenseglobal,8-13 Yrs,Not disclosed,"Gandhinagar, Pune"
16,Data Science,Shifastar Technologies Pvt. Ltd.,10-12 Yrs,Not disclosed,Mumbai
17,Data Science Expert,3D PLM Software Solutions Ltd.,2-4 Yrs,Not disclosed,Pune
18,"Data Science/AI/ML Engineer For Risor Infotech, Panchkula, Haryana",Talent  Corner HR Services Pvt Ltd,3-8 Yrs,"45,00,000 - 60,00,000 PA.","Chandigarh, Panchkula"
19,Data Science Engineer - Deep Learning/Neural Networks,Carbynetech India,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad
0,Senior Vice President - Analytics - Data Science Team - Insurance,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
1,Senior Associate Director - Data Science - IIT / IIM/ NIT/ XLRI,Huquo Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,Gurgaon/Gurugram
2,Sr. Vice President - Analytics - Data Science Team - Insurance -  IIT,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
3,Sr Vice President- Analytics- Data Science Team- Insurance,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
4,Senior Vice President - Analytics - Data Science Team - IIT/ IIM,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
5,Senior Associate Director - Data Science- Insurance- IIT/IIM/NIT/XLRI,Huquo Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,Gurgaon/Gurugram
6,Senior Vice President - Analytics - Data Science Team - IIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
7,Senior Associate Director - Data Science - Insurance - IIT/IIM/NIT,Huquo Consulting Pvt. Ltd,9-14 Yrs,Not disclosed,Gurgaon/Gurugram
8,Sr Associate Director - Data Science - Insurance - IIT/ IIM/ NIT/ XLRI,Huquo Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,Gurgaon/Gurugram
9,Senior Vice President- Analytics- Data Science Team-Insurance- IIT/IIM,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
10,Senior Associate Director - Data Science - Insurance - IIT/IIM/NIT,Huquo Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,Gurgaon/Gurugram
11,Sr Manager - Data Science,Belhem Hospitality,6-8 Yrs,Not disclosed,Delhi / NCR
12,Project Manager - Equity Data Science,Equity Data Science,3-8 Yrs,Not disclosed,Mumbai
13,Sr.Product Owner - Data Science & Analytics,Target,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
14,Senior Presales Consultant - AI & Data Sciences,WILLSPIRED SOLUTIONS PRIVATE LIMITED,10-14 Yrs,Not disclosed,Bangalore/Bengaluru
15,SENIOR ANALYTICS CONSULTANT - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
16,Senior Business Executive - Data Science,dentsu international,1-3 Yrs,Not disclosed,Bangalore/Bengaluru
17,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
19,Senior Consultant - Data Science,SAS Institute,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
0,Data science developer,Peopleplus Professional Services Pvt. Ltd.,5-7 Yrs,Not disclosed,Bangalore/Bengaluru
1,Senior Consultant - Data Science,SAS Research and  Developement (India) Pvt Ltd,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science Application Lead,Accenture,8-10 Yrs,Not disclosed,Bangalore/Bengaluru
3,Senior Manager II Data Science- Search,Walmart,12-15 Yrs,Not disclosed,Bangalore/Bengaluru
4,Natural Language Processing (NLP) Data Science Practitioner (MNC),Krazy Mantra HR Solutions Pvt. Ltd,12-22 Yrs,"12,00,000 - 22,00,000 PA.",Mumbai
5,Lead- Data Science,Think360.ai,5-8 Yrs,Not disclosed,Mumbai
6,Digital Scientist - Data Science,ACIESIND PRIVATE LIMITED,2-7 Yrs,"6,00,000 - 15,00,000 PA.",Remote
7,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Pune
8,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Chennai
9,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Mumbai
10,Data Science professional - Contract To Hire,Successr HR Tech PVT LTD,4-9 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
11,Data Science,Recruise India Consulting Pvt. Ltd.,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
12,Data Science Consultant - Java/SQL/Python,Altimax Business Solutions,4-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
13,Lead Data Science Engineer - NLP/Algorithm,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
14,Lead Data Science Engineer - Python/ Neural Networks,Huquo Consulting Pvt. Ltd,4-9 Yrs,Not disclosed,Gurgaon/Gurugram
15,Lead Data Science Engineer - NLP/Algorithm,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
16,Data Science Engineer - Predictive Modeling/Python,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
17,Machine Learning Engineer (Data Science),Walmart,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Engineer - Data Science Engineering,WAKEFIT INNOVATIONS PRIVATE LIMITED,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
19,Principal Engineer - Data Science,Western Digital,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
